"CODMUNRES","n_nasc_vivos","ANONASC","Cardiopatias","Membros","Neural","Fendas","Microcefalia","nome","latitude","longitude"
"430593",8,2014,0,0,0,0,0,"Coronel Pilar",-29.2695,-51.6847
"430595",17,2014,0,0,0,0,0,"Cotiporã",-28.9891,-51.6971
"430597",32,2014,0,0,0,0,0,"Coxilha",-28.128,-52.3023
"430600",156,2014,0,0,0,0,0,"Crissiumal",-27.4999,-54.0994
"430605",95,2014,0,0,0,0,0,"Cristal",-31.0046,-52.0436
"430607",28,2014,0,0,0,0,0,"Cristal do Sul",-27.452,-53.2422
"430610",907,2014,1,2,0,1,0,"Cruz Alta",-28.645,-53.6048
"430613",16,2014,0,0,0,0,0,"Cruzaltense",-27.6672,-52.6522
"430620",103,2014,0,0,0,0,0,"Cruzeiro do Sul",-29.5148,-51.9928
"430630",37,2014,0,0,0,0,0,"David Canabarro",-28.3849,-51.8482
"430632",19,2014,0,0,0,0,0,"Derrubadas",-27.2642,-53.8645
"430635",22,2014,0,1,0,0,0,"Dezesseis de Novembro",-28.219,-55.0617
"430637",34,2014,0,0,0,0,0,"Dilermando de Aguiar",-29.7054,-54.2122
"430640",363,2014,0,1,0,0,0,"Dois Irmãos",-29.5836,-51.0898
"430642",27,2014,0,0,0,0,0,"Dois Irmãos das Missões",-27.6621,-53.5304
"430645",26,2014,0,0,0,0,0,"Dois Lajeados",-28.983,-51.8396
"430650",163,2014,0,0,0,0,0,"Dom Feliciano",-30.7004,-52.1026
"430655",19,2014,0,1,0,0,0,"Dom Pedro de Alcântara",-29.3639,-49.853
"430660",466,2014,0,2,0,2,0,"Dom Pedrito",-30.9756,-54.6694
"430670",33,2014,0,0,0,0,0,"Dona Francisca",-29.6195,-53.3617
"430673",42,2014,0,0,1,0,0,"Doutor Maurício Cardoso",-27.5103,-54.3577
"430675",15,2014,0,0,0,0,0,"Doutor Ricardo",-29.084,-51.9972
"430676",593,2014,1,1,0,0,0,"Eldorado do Sul",-30.0847,-51.6187
"430680",274,2014,0,2,0,0,0,"Encantado",-29.2351,-51.8703
"430690",268,2014,1,0,0,0,0,"Encruzilhada do Sul",-30.543,-52.5204
"430692",21,2014,0,0,0,0,0,"Engenho Velho",-27.706,-52.9145
"430693",100,2014,0,1,0,1,0,"Entre-Ijuís",-28.3686,-54.2686
"430695",40,2014,0,0,0,0,0,"Entre Rios do Sul",-27.5298,-52.7347
"430697",55,2014,0,0,0,0,0,"Erebango",-27.8544,-52.3005
"430700",1353,2014,0,2,0,0,0,"Erechim",-27.6364,-52.2697
"430705",40,2014,0,0,0,0,0,"Ernestina",-28.4977,-52.5836
"430710",71,2014,0,0,0,0,0,"Herval",-32.024,-53.3944
"430720",63,2014,0,0,0,0,0,"Erval Grande",-27.3926,-52.574
"430730",79,2014,0,2,0,0,0,"Erval Seco",-27.5443,-53.5005
"430740",42,2014,0,0,0,0,0,"Esmeralda",-28.0518,-51.1933
"430745",40,2014,0,0,0,0,0,"Esperança do Sul",-27.3603,-53.9891
"430750",186,2014,0,0,0,0,0,"Espumoso",-28.7286,-52.8461
"430755",67,2014,0,0,0,0,0,"Estação",-27.9135,-52.2635
"430760",644,2014,1,1,1,0,0,"Estância Velha",-29.6535,-51.1843
"430770",1071,2014,1,3,0,2,0,"Esteio",-29.852,-51.1841
"430780",420,2014,1,3,0,0,0,"Estrela",-29.5002,-51.9495
"430781",33,2014,0,0,0,0,0,"Estrela Velha",-29.1713,-53.1639
"430783",26,2014,0,0,0,0,0,"Eugênio de Castro",-28.5315,-54.1506
"430786",24,2014,0,0,0,0,0,"Fagundes Varela",-28.8794,-51.7014
"430790",906,2014,1,4,0,2,0,"Farroupilha",-29.2227,-51.3419
"430800",52,2014,0,0,0,0,0,"Faxinal do Soturno",-29.5788,-53.4484
"430805",28,2014,0,0,0,1,0,"Faxinalzinho",-27.4238,-52.6789
"430807",63,2014,0,0,0,0,0,"Fazenda Vilanova",-29.5885,-51.8217
"430810",159,2014,0,0,0,0,0,"Feliz",-29.4527,-51.3032
"430820",372,2014,0,2,0,0,0,"Flores da Cunha",-29.0261,-51.1875
"430825",7,2014,0,0,0,0,0,"Floriano Peixoto",-27.8614,-52.0838
"430830",124,2014,0,1,0,0,0,"Fontoura Xavier",-28.9817,-52.3445
"430840",56,2014,0,0,0,0,0,"Formigueiro",-30.0035,-53.4959
"430843",17,2014,0,0,0,0,0,"Forquetinha",-29.3828,-52.0981
"430845",55,2014,0,0,0,0,0,"Fortaleza dos Valos",-28.7986,-53.2249
"430850",408,2014,0,0,0,0,0,"Frederico Westphalen",-27.3586,-53.3958
"430860",366,2014,1,2,0,0,0,"Garibaldi",-29.259,-51.5352
"430865",28,2014,0,0,0,0,0,"Garruchos",-28.1944,-55.6383
"430870",50,2014,0,0,0,0,0,"Gaurama",-27.5856,-52.0915
"430880",86,2014,0,0,0,0,0,"General Câmara",-29.9032,-51.7612
"430885",22,2014,0,0,0,0,0,"Gentil",-28.4316,-52.0337
"430890",187,2014,0,1,0,0,0,"Getúlio Vargas",-27.8911,-52.2294
"430900",193,2014,1,0,0,0,0,"Giruá",-28.0297,-54.3517
"430905",76,2014,0,1,0,0,0,"Glorinha",-29.8798,-50.7734
"430910",536,2014,0,1,0,0,0,"Gramado",-29.3734,-50.8762
"430912",28,2014,0,0,0,0,0,"Gramado dos Loureiros",-27.4429,-52.9149
"430915",34,2014,0,0,0,0,0,"Gramado Xavier",-29.2706,-52.5795
"430920",3588,2014,3,10,1,3,0,"Gravataí",-29.9413,-50.9869
"430925",18,2014,0,0,0,0,0,"Guabiju",-28.5421,-51.6948
"430930",1317,2014,1,5,0,5,0,"Guaíba",-30.1086,-51.3233
"430940",307,2014,0,0,0,0,0,"Guaporé",-28.8399,-51.8895
"430950",80,2014,0,0,0,0,0,"Guarani das Missões",-28.1491,-54.5629
"430955",43,2014,0,0,0,0,0,"Harmonia",-29.5456,-51.4185
"430957",35,2014,0,0,0,0,0,"Herveiras",-29.4552,-52.6553
"430960",221,2014,0,0,0,2,0,"Horizontina",-27.6282,-54.3053
"430965",78,2014,0,0,0,0,0,"Hulha Negra",-31.4067,-53.8667
"430970",38,2014,0,0,0,0,0,"Humaitá",-27.5691,-53.9695
"430975",39,2014,0,0,0,0,0,"Ibarama",-29.4203,-53.1295
"430980",37,2014,0,0,0,0,0,"Ibiaçá",-28.0566,-51.8599
"430990",73,2014,0,0,0,0,0,"Ibiraiaras",-28.3741,-51.6377
"430995",34,2014,0,1,0,0,0,"Ibirapuitã",-28.6247,-52.5158
"431000",257,2014,0,0,0,0,0,"Ibirubá",-28.6302,-53.0961
"431010",470,2014,1,0,0,0,0,"Igrejinha",-29.5693,-50.7919
"431020",1107,2014,1,4,1,1,0,"Ijuí",-28.388,-53.92
"431030",34,2014,0,0,0,0,0,"Ilópolis",-28.9282,-52.1258
"431033",283,2014,0,0,0,0,0,"Imbé",-29.9753,-50.1281
"431036",20,2014,0,0,0,0,0,"Imigrante",-29.3508,-51.7748
"431040",78,2014,0,0,0,0,0,"Independência",-27.8354,-54.1886
"431041",35,2014,0,0,0,0,0,"Inhacorá",-27.8752,-54.015
"431043",50,2014,1,0,0,0,0,"Ipê",-28.8171,-51.2859
"431046",17,2014,0,0,0,0,0,"Ipiranga do Sul",-27.9404,-52.4271
"431050",121,2014,0,0,0,0,0,"Iraí",-27.1951,-53.2543
"431053",70,2014,0,0,0,0,0,"Itaara",-29.6013,-53.7725
"431055",29,2014,0,0,0,0,0,"Itacurubi",-28.7913,-55.2447
"431057",16,2014,0,0,0,0,0,"Itapuca",-28.7768,-52.1693
"431060",530,2014,0,1,0,0,0,"Itaqui",-29.1311,-56.5515
"431065",30,2014,0,0,0,0,0,"Itati",-29.4974,-50.1016
"431070",38,2014,0,0,0,0,0,"Itatiba do Sul",-27.3846,-52.4538
"431075",13,2014,0,0,0,0,0,"Ivorá",-29.5232,-53.5842
"431080",278,2014,1,1,0,0,0,"Ivoti",-29.5995,-51.1533
